subject                       |result        |#sched |#after |#sets

sleepingbarber-eca-3          |NO_BUG        |417    |115    |76
                                                             set1: bef#=1, aft#=1, remConst#=0
                                                             set2: bef#=19, aft#=4, remConst#=23
                                                             set3: bef#=3, aft#=1, remConst#=2
                                                             set4: bef#=2, aft#=1, remConst#=1
                                                             set5: bef#=3, aft#=1, remConst#=2
                                                             set6: bef#=2, aft#=1, remConst#=1
                                                             set7: bef#=2, aft#=1, remConst#=0
                                                             set8: bef#=1, aft#=1, remConst#=0
                                                             set9: bef#=14, aft#=6, remConst#=18
                                                             set10: bef#=2, aft#=1, remConst#=1
                                                             set11: bef#=3, aft#=1, remConst#=2
                                                             set12: bef#=3, aft#=1, remConst#=2
                                                             set13: bef#=2, aft#=1, remConst#=1
                                                             set14: bef#=2, aft#=1, remConst#=1
                                                             set15: bef#=21, aft#=4, remConst#=32
                                                             set16: bef#=3, aft#=1, remConst#=2
                                                             set17: bef#=1, aft#=1, remConst#=0
                                                             set18: bef#=3, aft#=1, remConst#=2
                                                             set19: bef#=2, aft#=1, remConst#=1
                                                             set20: bef#=3, aft#=2, remConst#=2
                                                             set21: bef#=1, aft#=1, remConst#=0
                                                             set22: bef#=3, aft#=1, remConst#=2
                                                             set23: bef#=3, aft#=1, remConst#=2
                                                             set24: bef#=3, aft#=1, remConst#=2
                                                             set25: bef#=3, aft#=1, remConst#=2
                                                             set26: bef#=1, aft#=1, remConst#=0
                                                             set27: bef#=2, aft#=1, remConst#=1
                                                             set28: bef#=3, aft#=1, remConst#=2
                                                             set29: bef#=2, aft#=1, remConst#=1
                                                             set30: bef#=18, aft#=3, remConst#=26
                                                             set31: bef#=2, aft#=1, remConst#=1
                                                             set32: bef#=3, aft#=1, remConst#=2
                                                             set33: bef#=1, aft#=1, remConst#=0
                                                             set34: bef#=21, aft#=4, remConst#=32
                                                             set35: bef#=3, aft#=1, remConst#=2
                                                             set36: bef#=1, aft#=1, remConst#=0
                                                             set37: bef#=2, aft#=1, remConst#=1
                                                             set38: bef#=2, aft#=1, remConst#=1
                                                             set39: bef#=63, aft#=6, remConst#=143
                                                             set40: bef#=2, aft#=1, remConst#=1
                                                             set41: bef#=3, aft#=1, remConst#=2
                                                             set42: bef#=3, aft#=1, remConst#=2
                                                             set43: bef#=1, aft#=1, remConst#=0
                                                             set44: bef#=18, aft#=3, remConst#=26
                                                             set45: bef#=2, aft#=1, remConst#=1
                                                             set46: bef#=16, aft#=3, remConst#=20
                                                             set47: bef#=2, aft#=1, remConst#=1
                                                             set48: bef#=1, aft#=1, remConst#=0
                                                             set49: bef#=3, aft#=1, remConst#=2
                                                             set50: bef#=16, aft#=3, remConst#=20
                                                             set51: bef#=1, aft#=1, remConst#=0
                                                             set52: bef#=1, aft#=1, remConst#=0
                                                             set53: bef#=2, aft#=1, remConst#=1
                                                             set54: bef#=3, aft#=1, remConst#=2
                                                             set55: bef#=3, aft#=1, remConst#=2
                                                             set56: bef#=1, aft#=1, remConst#=0
                                                             set57: bef#=21, aft#=5, remConst#=33
                                                             set58: bef#=1, aft#=1, remConst#=0
                                                             set59: bef#=3, aft#=1, remConst#=2
                                                             set60: bef#=3, aft#=1, remConst#=2
                                                             set61: bef#=1, aft#=1, remConst#=0
                                                             set62: bef#=3, aft#=1, remConst#=2
                                                             set63: bef#=1, aft#=1, remConst#=0
                                                             set64: bef#=2, aft#=1, remConst#=1
                                                             set65: bef#=17, aft#=3, remConst#=20
                                                             set66: bef#=19, aft#=4, remConst#=23
                                                             set67: bef#=3, aft#=1, remConst#=2
                                                             set68: bef#=3, aft#=1, remConst#=2
                                                             set69: bef#=1, aft#=1, remConst#=0
                                                             set70: bef#=3, aft#=1, remConst#=2
                                                             set71: bef#=2, aft#=1, remConst#=1
                                                             set72: bef#=18, aft#=3, remConst#=26
                                                             set73: bef#=1, aft#=1, remConst#=0
                                                             set74: bef#=3, aft#=1, remConst#=2
                                                             set75: bef#=3, aft#=1, remConst#=2
                                                             set76: bef#=2, aft#=1, remConst#=1

sleepingbarber-eca-3          |EXCEPTION     |146    |98     |67
                                                             set1: bef#=2, aft#=1, remConst#=1
                                                             set2: bef#=1, aft#=1, remConst#=0
                                                             set3: bef#=1, aft#=1, remConst#=0
                                                             set4: bef#=2, aft#=1, remConst#=1
                                                             set5: bef#=2, aft#=1, remConst#=1
                                                             set6: bef#=1, aft#=1, remConst#=0
                                                             set7: bef#=2, aft#=1, remConst#=1
                                                             set8: bef#=1, aft#=1, remConst#=0
                                                             set9: bef#=1, aft#=1, remConst#=0
                                                             set10: bef#=2, aft#=1, remConst#=1
                                                             set11: bef#=4, aft#=2, remConst#=4
                                                             set12: bef#=3, aft#=2, remConst#=2
                                                             set13: bef#=2, aft#=2, remConst#=0
                                                             set14: bef#=1, aft#=1, remConst#=0
                                                             set15: bef#=4, aft#=3, remConst#=3
                                                             set16: bef#=3, aft#=2, remConst#=2
                                                             set17: bef#=2, aft#=1, remConst#=1
                                                             set18: bef#=3, aft#=2, remConst#=2
                                                             set19: bef#=5, aft#=3, remConst#=3
                                                             set20: bef#=1, aft#=1, remConst#=0
                                                             set21: bef#=1, aft#=1, remConst#=0
                                                             set22: bef#=4, aft#=2, remConst#=4
                                                             set23: bef#=2, aft#=1, remConst#=1
                                                             set24: bef#=1, aft#=1, remConst#=0
                                                             set25: bef#=3, aft#=2, remConst#=2
                                                             set26: bef#=1, aft#=1, remConst#=0
                                                             set27: bef#=1, aft#=1, remConst#=0
                                                             set28: bef#=8, aft#=3, remConst#=13
                                                             set29: bef#=7, aft#=3, remConst#=10
                                                             set30: bef#=2, aft#=2, remConst#=0
                                                             set31: bef#=2, aft#=2, remConst#=0
                                                             set32: bef#=1, aft#=1, remConst#=0
                                                             set33: bef#=1, aft#=1, remConst#=0
                                                             set34: bef#=1, aft#=1, remConst#=0
                                                             set35: bef#=1, aft#=1, remConst#=0
                                                             set36: bef#=4, aft#=3, remConst#=3
                                                             set37: bef#=1, aft#=1, remConst#=0
                                                             set38: bef#=4, aft#=2, remConst#=4
                                                             set39: bef#=1, aft#=1, remConst#=0
                                                             set40: bef#=2, aft#=1, remConst#=1
                                                             set41: bef#=2, aft#=2, remConst#=0
                                                             set42: bef#=1, aft#=1, remConst#=0
                                                             set43: bef#=1, aft#=1, remConst#=0
                                                             set44: bef#=3, aft#=2, remConst#=2
                                                             set45: bef#=1, aft#=1, remConst#=0
                                                             set46: bef#=1, aft#=1, remConst#=0
                                                             set47: bef#=3, aft#=2, remConst#=2
                                                             set48: bef#=7, aft#=3, remConst#=10
                                                             set49: bef#=1, aft#=1, remConst#=0
                                                             set50: bef#=4, aft#=2, remConst#=4
                                                             set51: bef#=1, aft#=1, remConst#=0
                                                             set52: bef#=3, aft#=2, remConst#=2
                                                             set53: bef#=1, aft#=1, remConst#=0
                                                             set54: bef#=2, aft#=2, remConst#=0
                                                             set55: bef#=1, aft#=1, remConst#=0
                                                             set56: bef#=1, aft#=1, remConst#=0
                                                             set57: bef#=7, aft#=3, remConst#=10
                                                             set58: bef#=1, aft#=1, remConst#=0
                                                             set59: bef#=2, aft#=1, remConst#=1
                                                             set60: bef#=1, aft#=1, remConst#=0
                                                             set61: bef#=1, aft#=1, remConst#=0
                                                             set62: bef#=1, aft#=1, remConst#=0
                                                             set63: bef#=2, aft#=1, remConst#=1
                                                             set64: bef#=2, aft#=1, remConst#=1
                                                             set65: bef#=1, aft#=1, remConst#=0
                                                             set66: bef#=1, aft#=1, remConst#=0
                                                             set67: bef#=3, aft#=2, remConst#=2

==========================================
procreg-eca-3                 |NO_BUG        |24     |10     |10
                                                             set1: bef#=4, aft#=1, remConst#=1
                                                             set2: bef#=3, aft#=1, remConst#=0
                                                             set3: bef#=3, aft#=1, remConst#=1
                                                             set4: bef#=1, aft#=1, remConst#=0
                                                             set5: bef#=3, aft#=1, remConst#=1
                                                             set6: bef#=1, aft#=1, remConst#=0
                                                             set7: bef#=3, aft#=1, remConst#=0
                                                             set8: bef#=3, aft#=1, remConst#=0
                                                             set9: bef#=2, aft#=1, remConst#=0
                                                             set10: bef#=1, aft#=1, remConst#=0

procreg-eca-3                 |EXCEPTION     |3      |2      |2
                                                             set1: bef#=1, aft#=1, remConst#=0
                                                             set2: bef#=2, aft#=1, remConst#=0

==========================================
procreg1-eca-3                |NO_BUG        |286    |134    |75
                                                             set1: bef#=4, aft#=2, remConst#=1
                                                             set2: bef#=3, aft#=2, remConst#=0
                                                             set3: bef#=1, aft#=1, remConst#=0
                                                             set4: bef#=1, aft#=1, remConst#=0
                                                             set5: bef#=3, aft#=3, remConst#=0
                                                             set6: bef#=9, aft#=3, remConst#=1
                                                             set7: bef#=3, aft#=2, remConst#=0
                                                             set8: bef#=7, aft#=2, remConst#=1
                                                             set9: bef#=1, aft#=1, remConst#=0
                                                             set10: bef#=6, aft#=2, remConst#=0
                                                             set11: bef#=1, aft#=1, remConst#=0
                                                             set12: bef#=5, aft#=2, remConst#=1
                                                             set13: bef#=1, aft#=1, remConst#=0
                                                             set14: bef#=5, aft#=3, remConst#=1
                                                             set15: bef#=2, aft#=2, remConst#=0
                                                             set16: bef#=6, aft#=4, remConst#=1
                                                             set17: bef#=9, aft#=4, remConst#=2
                                                             set18: bef#=19, aft#=2, remConst#=2
                                                             set19: bef#=7, aft#=2, remConst#=1
                                                             set20: bef#=8, aft#=2, remConst#=1
                                                             set21: bef#=1, aft#=1, remConst#=0
                                                             set22: bef#=3, aft#=2, remConst#=0
                                                             set23: bef#=1, aft#=1, remConst#=0
                                                             set24: bef#=2, aft#=2, remConst#=0
                                                             set25: bef#=2, aft#=1, remConst#=0
                                                             set26: bef#=1, aft#=1, remConst#=0
                                                             set27: bef#=1, aft#=1, remConst#=0
                                                             set28: bef#=1, aft#=1, remConst#=0
                                                             set29: bef#=3, aft#=2, remConst#=0
                                                             set30: bef#=3, aft#=2, remConst#=0
                                                             set31: bef#=7, aft#=3, remConst#=1
                                                             set32: bef#=2, aft#=2, remConst#=0
                                                             set33: bef#=9, aft#=2, remConst#=3
                                                             set34: bef#=2, aft#=2, remConst#=0
                                                             set35: bef#=1, aft#=1, remConst#=0
                                                             set36: bef#=2, aft#=1, remConst#=0
                                                             set37: bef#=7, aft#=2, remConst#=1
                                                             set38: bef#=1, aft#=1, remConst#=0
                                                             set39: bef#=12, aft#=2, remConst#=2
                                                             set40: bef#=1, aft#=1, remConst#=0
                                                             set41: bef#=2, aft#=1, remConst#=0
                                                             set42: bef#=11, aft#=4, remConst#=2
                                                             set43: bef#=1, aft#=1, remConst#=0
                                                             set44: bef#=3, aft#=2, remConst#=0
                                                             set45: bef#=1, aft#=1, remConst#=0
                                                             set46: bef#=3, aft#=2, remConst#=0
                                                             set47: bef#=5, aft#=2, remConst#=1
                                                             set48: bef#=3, aft#=2, remConst#=0
                                                             set49: bef#=7, aft#=3, remConst#=1
                                                             set50: bef#=1, aft#=1, remConst#=0
                                                             set51: bef#=3, aft#=2, remConst#=0
                                                             set52: bef#=1, aft#=1, remConst#=0
                                                             set53: bef#=2, aft#=2, remConst#=0
                                                             set54: bef#=1, aft#=1, remConst#=0
                                                             set55: bef#=7, aft#=2, remConst#=3
                                                             set56: bef#=13, aft#=2, remConst#=3
                                                             set57: bef#=1, aft#=1, remConst#=0
                                                             set58: bef#=3, aft#=2, remConst#=0
                                                             set59: bef#=1, aft#=1, remConst#=0
                                                             set60: bef#=2, aft#=2, remConst#=0
                                                             set61: bef#=1, aft#=1, remConst#=0
                                                             set62: bef#=3, aft#=2, remConst#=0
                                                             set63: bef#=2, aft#=2, remConst#=0
                                                             set64: bef#=3, aft#=2, remConst#=0
                                                             set65: bef#=1, aft#=1, remConst#=0
                                                             set66: bef#=2, aft#=2, remConst#=0
                                                             set67: bef#=22, aft#=4, remConst#=4
                                                             set68: bef#=3, aft#=2, remConst#=0
                                                             set69: bef#=3, aft#=2, remConst#=0
                                                             set70: bef#=1, aft#=1, remConst#=0
                                                             set71: bef#=5, aft#=2, remConst#=1
                                                             set72: bef#=2, aft#=1, remConst#=0
                                                             set73: bef#=1, aft#=1, remConst#=0
                                                             set74: bef#=2, aft#=2, remConst#=0
                                                             set75: bef#=1, aft#=1, remConst#=0

procreg1-eca-3                |EXCEPTION     |771    |208    |155
                                                             set1: bef#=10, aft#=1, remConst#=2
                                                             set2: bef#=18, aft#=2, remConst#=1
                                                             set3: bef#=4, aft#=1, remConst#=0
                                                             set4: bef#=1, aft#=1, remConst#=0
                                                             set5: bef#=1, aft#=1, remConst#=0
                                                             set6: bef#=2, aft#=1, remConst#=0
                                                             set7: bef#=1, aft#=1, remConst#=0
                                                             set8: bef#=4, aft#=2, remConst#=1
                                                             set9: bef#=1, aft#=1, remConst#=0
                                                             set10: bef#=1, aft#=1, remConst#=0
                                                             set11: bef#=5, aft#=1, remConst#=0
                                                             set12: bef#=1, aft#=1, remConst#=0
                                                             set13: bef#=8, aft#=2, remConst#=1
                                                             set14: bef#=1, aft#=1, remConst#=0
                                                             set15: bef#=1, aft#=1, remConst#=0
                                                             set16: bef#=1, aft#=1, remConst#=0
                                                             set17: bef#=1, aft#=1, remConst#=0
                                                             set18: bef#=2, aft#=1, remConst#=0
                                                             set19: bef#=5, aft#=1, remConst#=0
                                                             set20: bef#=12, aft#=2, remConst#=2
                                                             set21: bef#=1, aft#=1, remConst#=0
                                                             set22: bef#=1, aft#=1, remConst#=0
                                                             set23: bef#=6, aft#=2, remConst#=1
                                                             set24: bef#=2, aft#=1, remConst#=0
                                                             set25: bef#=1, aft#=1, remConst#=0
                                                             set26: bef#=6, aft#=2, remConst#=1
                                                             set27: bef#=30, aft#=2, remConst#=2
                                                             set28: bef#=1, aft#=1, remConst#=0
                                                             set29: bef#=2, aft#=1, remConst#=0
                                                             set30: bef#=2, aft#=1, remConst#=1
                                                             set31: bef#=4, aft#=1, remConst#=0
                                                             set32: bef#=1, aft#=1, remConst#=0
                                                             set33: bef#=18, aft#=2, remConst#=3
                                                             set34: bef#=2, aft#=1, remConst#=0
                                                             set35: bef#=2, aft#=1, remConst#=0
                                                             set36: bef#=1, aft#=1, remConst#=0
                                                             set37: bef#=21, aft#=2, remConst#=3
                                                             set38: bef#=1, aft#=1, remConst#=0
                                                             set39: bef#=5, aft#=1, remConst#=0
                                                             set40: bef#=6, aft#=2, remConst#=1
                                                             set41: bef#=6, aft#=1, remConst#=0
                                                             set42: bef#=18, aft#=2, remConst#=1
                                                             set43: bef#=1, aft#=1, remConst#=0
                                                             set44: bef#=1, aft#=1, remConst#=0
                                                             set45: bef#=32, aft#=2, remConst#=2
                                                             set46: bef#=4, aft#=2, remConst#=0
                                                             set47: bef#=1, aft#=1, remConst#=0
                                                             set48: bef#=2, aft#=1, remConst#=0
                                                             set49: bef#=16, aft#=2, remConst#=3
                                                             set50: bef#=1, aft#=1, remConst#=0
                                                             set51: bef#=1, aft#=1, remConst#=0
                                                             set52: bef#=6, aft#=1, remConst#=0
                                                             set53: bef#=1, aft#=1, remConst#=0
                                                             set54: bef#=1, aft#=1, remConst#=0
                                                             set55: bef#=1, aft#=1, remConst#=0
                                                             set56: bef#=3, aft#=2, remConst#=1
                                                             set57: bef#=3, aft#=2, remConst#=1
                                                             set58: bef#=15, aft#=2, remConst#=2
                                                             set59: bef#=8, aft#=2, remConst#=2
                                                             set60: bef#=11, aft#=2, remConst#=1
                                                             set61: bef#=14, aft#=2, remConst#=1
                                                             set62: bef#=2, aft#=1, remConst#=0
                                                             set63: bef#=3, aft#=2, remConst#=0
                                                             set64: bef#=6, aft#=2, remConst#=0
                                                             set65: bef#=1, aft#=1, remConst#=0
                                                             set66: bef#=1, aft#=1, remConst#=0
                                                             set67: bef#=3, aft#=2, remConst#=1
                                                             set68: bef#=4, aft#=2, remConst#=0
